いまごろ,今ごろ
いましめる,戒める
います,います
いまだ,いまだ
いまどき,今どき
いまにも,今にも
いままで,今まで
いまわ,いまわ
いもほり,芋掘り
いもり,いもり
いやしい,卑しい
いやす,癒やす
いやに,いやに
いやみ,いや味
いらいしゃ,依頼者
いらく,イラク
いらん,イラン
いりうみ,入り海
いりぐち,入り口
いりひ,入り日
いりゅうひん,遺留品
いりよう,入り用
いるか,いるか
いるす,居留守
いれずみ,入れ墨
いれば,入れ歯
いれもの,入れ物
いれる,いれる
いろあい,色合い
いろえんぴつ,色鉛筆
いろずり,色刷り
いろづく,色付く
いろどり,色彩り
いろどり,色取り
いろどる,色どる
いろなおし,色直し
いろは,いろは
いろは,いろは
いろめがね,色眼鏡
いろめく,色めく
いろり,いろり
いろわけ,色分け
いわく,いわく
いわし,いわし
いわば,いわば
いわや,いわや
いわれ,いわれ
いんがし,印画紙
いんき,インキ
いんく,インク
いんずうがい,員数外
いんする,印する
いんち,インチ
いんでんき,陰電気
ううる,ウール
うえき,植え木
うえきばち,植木鉢
うえこみ,植込み
うえる,飢える
うえる,飢える
うえる,植える
うおいちば,魚市場
うおがし,魚河岸
うがい,うがい
うかつ,うかつ
うがつ,うがつ
うかぶ,浮かぶ
うかる,受かる
うきあし,浮き足
うきくさ,浮き草
うきぐも,浮き雲
うきぶくろ,浮き袋
うきみ,うき身
うきめ,うき目
うきよえ,浮世絵
うけおい,請負い
うけごし,受け腰
うけみ,受け身
うけもち,受持ち
うける,受ける
うける,受ける
うごかす,動かす
うさぎ,うさぎ
うしお,うしお
うしかい,牛飼い
うしごや,牛小屋
うしみつどき,丑満時
うじむし,うじ虫
うしろあき,後明き
うしろぐらい,後暗い
うしろむき,後向き
うすあかい,薄赤い
うすがすむ,薄霞む
うすぎり,薄切り
うすぎり,薄切り
うずく,うずく
うすぐもり,薄曇り
うすぐもる,薄曇る
うすぐらい,薄暗い
うすぐろい,薄黒い
うすげしょう,薄化粧
うすのろ,薄のろ
うすばか,薄ばか
うずみび,埋み火
うすめる,薄める
うずら,うずら
うすらぐ,薄らぐ
うすらぐ,薄らぐ
うすれる,薄れる
うすれる,薄れる
うすわらい,薄笑い
うせる,失せる
うそじ,うそ字
うたいて,歌い手
うたげ,うたげ
うたた,うたた
うだつ,うだつ
うたよみ,歌よみ
うだる,うだる
うちあわせ,打合せ
うちあわせ,打合せ
うちいわい,内祝い
うちけす,打消す
うちでし,内弟子
うちべんけい,内弁慶
うちべんけい,内弁慶
うちまた,内また
うちまわり,内回り
うちみ,打ち身
うちみず,打ち水
うちょうてん,有頂天
うちわ,うちわ
うづき,うづき
うつくしい,美しい
うつしえ,写し絵
うつしよ,現し世
うったえる,訴える
うつつ,うつつ
うつり,うつり
うつりが,移り香
うつりぎ,移り気
うつろ,うつろ
うつろう,移ろう
うつわ,うつわ
うできき,腕きき
うでぐみ,腕組み
うでくらべ,腕比べ
うでずく,腕ずく
うでずく,腕ずく
うでどけい,腕時計
うでる,うでる
うとい,うとい
うとむ,うとむ
うどん,うどん
うなぎ,うなぎ
うなじ,うなじ
うなでん,ウナ電
うなり,うなり
うなる,うなる
うねり,うねり
うねる,うねる
うのはな,卯の花
うのみ,う呑み
うばぐるま,乳母車
うばざくら,うば桜
うぶげ,うぶ毛
うぶごえ,うぶ声
うふふ,ウフフ
うまい,うまい
うまい,うまい
うまのり,馬乗り
うまる,うまる
うまれ,生まれ
うみづき,産み月
うみなり,海鳴り
うめき,うめき
うめく,うめく
うめくさ,埋め草
うめる,うめる
うらあみ,裏編み
うらうち,裏打ち
うらがえし,裏返し
うらがえす,裏返す
うらがえす,裏返す
うらがえる,裏返る
うらがえる,裏返る
うらがき,裏書き
うらぎり,裏切り
うらぎる,裏切る
うらづけ,裏付け
うらどおり,裏通り
うらないし,占い師
うらにほん,裏日本
うらぼん,盂蘭盆
うらぼん,盂蘭盆
うらみち,裏みち
うらら,うらら
うりいえ,売り家
うりこ,売り子
うりざねがお,瓜核顔
うりて,売り手
うりね,売り値
うりば,売り場
うりもの,売り物
うるう,うるう
うるし,うるし
うるち,うるち
うるむ,うるむ
うれえる,憂える
うれくち,売れ口
うれしい,嬉しい
うれだか,売れ高
うれる,うれる
うれる,売れる
うろこ,うろこ
うわあご,上あご
うわがき,上書き
うわさ,うわさ
うわじき,上敷き
うわずる,上ずる
うわづつみ,上包み
うわづみ,上積み
うわて,うわ手
うわぬり,上塗り
うわのそら,上の空
うわばき,上ばき
うわばり,上張り
うわべ,うわべ
うわまわる,上回る
うわむき,上向き
うわめ,うわ目
うわる,植わる
うんか,うんか
うんてんしゅ,運転手
うんと,うんと
うんどういん,運動員
うんどうかい,運動会
うんどうぐつ,運動靴
うんどうじょう,運動場
うんどうじょう,運動場
うんどうば,運動場
うんよく,運よく
うんわるく,運悪く
えいがかん,映画館
えいずる,映ずる
えいせいてき,衛生的
えいっ,エイッ
えいや,エイヤ
えいようか,栄養価
えいり,絵入り
ええと,ええと
ええびいしい,ＡＢＣ
えかき,画描き
えがく,えがく
えきす,エキス
えきする,益する
えきばしゃ,駅馬車
えぐい,えぐい
えくぼ,えくぼ
えぐる,えぐる
えごい,えごい
えこじ,えこじ
えさがし,絵探し
えすおおえす,ＳＯＳ
えだぶり,枝ぶり
えっする,閲する
えっする,閲する
えにし,えにし
えぬえいちけえ,ＮＨＫ
えのぐ,絵の具
えはがき,絵葉書
えびす,恵比寿
えびちゃ,えび茶
えへん,エヘン
えぼし,烏帽子
えまきもの,絵巻物
えらあ,エラー
えりぐり,衿ぐり
えりぐり,衿ぐり
えりつけ,衿付け
えんきょり,遠距離
えんきり,縁切り
えんきり,縁切り
えんぐみ,縁組み
えんしゅつか,演出家
えんずる,演ずる
えんずる,演ずる
えんずる,演ずる
えんづく,縁づく
えんどおい,縁遠い
