じょまく,除幕式
しょゆうけん,所有権
しらす,知らす
じらす,じらす
しらせ,しらせ
しらぬい,不知火
しらふ,しらふ
しらべる,調べる
しらみ,しらみ
しりおし,尻押し
しりおし,尻押し
しりきれ,尻切れ
しりごみ,尻込み
しりぞける,退ける
じりだか,じり高
じりひん,ジリ貧
しりもち,尻もち
しるす,しるす
しるべ,しるべ
しるべ,知るべ
しれいかん,司令官
しれる,知れる
じれる,じれる
しろざとう,白砂糖
じろり,じろり
しわい,しわい
しわけ,仕分け
しわす,しわす
しわよせ,皺寄せ
じわり,じわり
しんいり,新入り
しんうち,真打ち
しんかいち,新開地
じんかくしゃ,人格者
しんきじく,新機軸
しんきろう,蜃気楼
しんくうかん,真空管
しんけいしつ,神経質
しんけいつう,神経痛
しんこきゅう,深呼吸
しんごんしゅう,真言宗
しんさつしつ,診察室
しんずる,信ずる
しんぜんび,真善美
しんたいし,新体詩
しんちしき,新知識
しんちゅうぐん,進駐軍
しんと,しんと
じんどる,陣取る
しんにゅうせい,新入生
しんにゅうせい,新入生
しんぱんかん,審判官
しんびてき,審美的
しんぶんし,新聞紙
しんぶんしゃ,新聞社
しんぶんや,新聞屋
しんようじゅ,針葉樹
じんりきしゃ,人力車
すいか,すいか
すいくち,吸い口
すいげんち,水源地
すいさいが,水彩画
すいじょうき,水蒸気
すいする,推する
すいせいがん,水成岩
すいそうがく,吹奏楽
すいぞくかん,水族館
すいちょくせん,垂直線
すいとうぼ,出納簿
すいへいせん,水平線
すいへいふく,水兵服
すいもの,吸い物
すうつ,スーツ
すうぷ,スープ
すえる,すえる
すえる,据える
ずがいこつ,頭蓋骨
すかし,透かし
すかす,すかす
すかす,すかす
すかす,空かす
すかす,透かす
すがめ,すが目
すがる,すがる
すがる,すがる
すかんぴん,素寒貧
すきい,スキー
すぎな,すぎな
すぎる,過ぎる
すぎる,過ぎる
すぎる,過ぎる
すくいぬし,救い主
すくう,すくう
すくう,巣くう
すくない,少ない
すくむ,すくむ
すぐる,過ぐる
すけだち,助太刀
すける,すける
すげる,すげる
すこあ,スコア
すごい,すごい
すごす,過ごす
すごもんく,凄文句
すさぶ,すさぶ
すさむ,すさむ
すさる,すさる
すじあい,筋合い
すじかい,筋かい
すじがき,筋書き
すじがき,筋書き
すじちがい,筋違い
すしや,すし屋
ずしり,ずしり
ずしり,ずしり
すすき,すすき
すすぎ,すすぎ
すすぐ,すすぐ
すずしい,涼しい
すずなり,鈴なり
すずみだい,涼み台
すずめ,すずめ
すすめる,勧める
すすめる,進める
すすめる,進める
すする,すする
すそわけ,裾分け
すたあ,スター
すたあ,スター
すたあ,スター
すだく,すだく
すだち,巣立ち
すだつ,巣立つ
すたり,すたり
すたる,すたる
すだれ,すだれ
ずつ,−ずつ
ずっく,ズック
すっと,すっと
すっと,すっと
ずっと,ずっと
すっぱだか,素っ裸
すていし,捨て石
すてご,棄て子
すでに,すでに
すてね,捨て値
すてばち,捨て鉢
すてみ,捨て身
すてる,棄てる
すてん,すてん
すどおり,素通り
すとん,すとん
ずどん,ずどん
すなあそび,砂遊び
すなどけい,砂時計
すねる,すねる
すのこ,簀の子
すぱい,スパイ
すぱい,スパイ
すはだ,素はだ
すぱな,スパナ
すばなれ,巣離れ
すばやい,素早い
すぱり,すぱり
ずばり,ずばり
すばる,すばる
ずぶとい,図太い
ずぶり,ずぶり
すべて,すべて
すべて,すべて
すべり,すべり
すべる,すべる
すべる,統べる
すぼむ,すぼむ
ずぼら,ずぼら
ずぼん,ズボン
すまい,住まい
すまい,住まい
すまう,住まう
すまし,すまし
すます,すます
すます,済ます
すます,澄ます
すみか,住みか
すみがま,炭がま
すみとり,炭取り
すみやか,速やか
すみやき,炭焼き
すみれ,すみれ
すもう,すもう
すもも,すもも
すやき,素焼き
ずらす,ずらす
すらぶ,スラブ
すらり,すらり
ずらり,ずらり
すりい,スリー
すりえ,すり餌
すりばち,すり鉢
すりもの,刷り物
すりる,スリル
ずるい,ずるい
すると,すると
するり,するり
ずるり,ずるり
すれる,すれる
ずれる,ずれる
すろお,スロー
すわり,すわり
すわる,すわる
すわる,すわる
ずんと,ずんと
せいかいけん,制海権
せいかつなん,生活難
せいくうけん,制空権
せいこうほう,正攻法
ぜいこみ,税込み
せいじか,政治家
せいじょうき,星条旗
せいしょうねん,青少年
せいしょくき,生殖器
せいしょくしゃ,聖職者
せいしんびょう,精神病
せいする,制する
せいする,製する
せいそうけん,成層圏
せいでんき,静電気
せいどうき,青銅器
せいねんだん,青年団
せいはんたい,正反対
ぜいひき,税引き
ぜいひき,税引き
せいひれい,正比例
せいほうけい,正方形
ぜいむしょ,税務署
せいめいりょく,生命力
せいようし,西洋紙
せいようじん,西洋人
せいりょくけん,勢力圏
せいろ,せいろ
せえふ,セーフ
せおう,背負う
せおよぎ,背泳ぎ
せがき,施餓鬼
せかす,せかす
せがむ,せがむ
せきがいせん,赤外線
せきがはら,関が原
せきがはら,関ケ原
せきじゅうじ,赤十字
せきとり,関取り
せきにんしゃ,責任者
せきらら,赤裸々
せけんてい,世間体
せせる,せせる
せたけ,背たけ
せっきゃくぎょう,接客業
せっきょくてき,積極的
せっきょくてき,積極的
せっけっきゅう,赤血球
せっする,接する
せっする,節する
ぜっする,絶する
ぜっする,絶する
せつぞくし,接続詞
ぜったいに,絶対に
せっと,セット
せっと,セット
せつない,切ない
せつびご,接尾語
せつめいしょ,説明書
せとぎわ,瀬戸際
せともの,瀬戸物
せともの,瀬戸物
せのび,背伸び
せばまる,狭まる
せばめる,狭める
せぴあ,セピア
せびる,せびる
せぶみ,瀬踏み
せむし,せむし
せめく,責め苦
せめて,せめて
せめる,攻める
せめる,責める
せめる,責める
せりいち,せり市
せりふ,せりふ
せる,−せる
せわにん,世話人
せわやく,世話役
せんかくしゃ,先覚者
ぜんがくれん,全学連
ぜんかもの,前科者
ぜんかもの,前科者
せんきょうし,宣教師
ぜんごさく,善後策
せんじぐすり,煎じ薬
せんじゅうしゃ,専従者
せんしゅうらく,千秋楽
せんじる,煎じる
せんじる,煎じる
せんす,センス
せんす,センス
せんすいかん,潜水艦
せんすいふく,潜水服
せんする,宣する
せんせいりょく,潜勢力
せんせんげつ,先先月
ぜんそうきょく,前奏曲
ぜんそくりょく,全速力
ぜんだて,膳立て
せんち,センチ
せんち,センチ
せんてんてき,先天的
せんと,セント
せんにゅうかん,先入観
ぜんにんしゃ,前任者
せんぱんらい,先般来
せんびょうし,戦病死
せんびょうしつ,腺病質
せんぷうき,扇風機
せんめんき,洗面器
せんもんか,専門家
せんりがん,千里眼
せんりひん,戦利品
そいつ,そいつ
そうがんきょう,双眼鏡
ぞうきばやし,雑木林
そうけっさん,総決算
そうこうげき,総攻撃
そうじけい,相似形
そうじて,総じて
そうしんぐ,装身具
そうしんぐ,装身具
そうする,奏する
そうする,奏する
そうする,奏する
ぞうする,蔵する
そうせいじ,双生児
そうせいじ,双生児
そうせんきょ,総選挙
そうぞくぜい,相続税
そうそふ,曾祖父
そうそぼ,曾祖母
そうたいてき,相対的
そうどういん,総動員
そうなめ,総なめ
ぞうぶつしゅ,造物主
そうまとう,走馬燈
そうもくろく,総目録
そえもの,添え物
そえる,添える
そえる,添える
そおす,ソース
そおだ,ソーダ
ぞおん,ゾーン
そぐう,そぐう
そぐう,そぐう
ぞくうけ,俗受け
そくざに,即座に
そくする,即する
ぞくする,属する
そくたつびん,速達便
そげる,そげる
そこきみ,底気味
そこで,そこで
そこぬけ,底ぬけ
そこねる,損ねる
そこびえ,底冷え
そこら,そこら
そして,そして
そしり,そしり
そしり,そしり
そしる,そしる
そそぐ,そそぐ
そそぐ,そそぐ
そそる,そそる
そぞろ,そぞろ
そだてる,育てる
そだてる,育てる
そちら,そちら
そっこうじょ,測候所
そっする,卒する
そっち,そっち
そっと,そっと
ぞっと,ぞっと
そっぱ,そっ歯
そっぽ,そっぽ
そでぐり,袖ぐり
そでぐり,袖ぐり
そてつ,そてつ
そでつけ,袖付け
そでなし,袖無し
そでのした,袖の下
そとば,卒塔婆
そとまわり,外回り
そとまわり,外回り
そなえる,供える
そなえる,具える
そなえる,備える
そなた,そなた
そなた,ソナタ
そなわる,具わる
そねみ,そねみ
そねむ,そねむ
そのおり,その折
そのすじ,その筋
そのむかし,その昔
そばづえ,そば杖
そばや,そばや
そふぁ,ソファ
そふと,ソフト
そふぼ,祖父母
そぶり,そぶり
そほうか,素封家
そまる,染まる
そむける,背ける
そめこ,染め粉
そめもの,染め物
そめる,染める
そめる,染める
そよかぜ,そよ風
そよぎ,そよぎ
そよぐ,そよぐ
そらおぼえ,空覚え
そらす,そらす
そらす,そらす
そらす,反らす
そらだのみ,空頼み
そらみみ,そら耳
そらもよう,空模様
そらわらい,空笑い
そりみ,反り身
それで,それで
それに,それに
それは,それは
それる,それる
それる,それる
そろい,そろい
そろう,そろう
そろり,そろり
ぞろり,ぞろり
そんする,存する
そんする,損する
そんずる,損ずる
そんずる,損ずる
ぞんずる,存ずる
そんな,そんな
そんぷうし,村夫子
だあす,ダース
だあつ,ダーツ
たあん,ターン
だあん,だあん
たい,−たい
だいいっせん,第一線
だいいっせん,第一線
たいいんれき,太陰暦
たいおんけい,体温計
だいおんじょう,大音声
たいかくせん,対角線
たいかんしき,戴冠式
だいぎし,代議士
だいきぼ,大規模
だいこ,だいこ
だいこくばしら,大黒柱
だいごみ,醍醐味
だいさんごく,第三国
だいさんしゃ,第三者
たいした,大した
たいして,大して
たいしょうてき,対称的
だいじょうぶ,大丈夫
だいしょうり,大勝利
たいしょてき,対蹠的
だいず,だいず
だいすき,大好き
たいする,体する
たいする,対する
たいする,帯する
たいする,帯する
だいする,題する
たいせいよう,大西洋
たいせきてき,対蹠的
だいぜんてい,大前提
だいそうしゃ,代走者
だいだいてき,大々的
だいだしゃ,代打者
だいたすう,大多数
だいだんえん,大団円
だいとうりょう,大統領
だいにっぽん,大日本
たいぷ,タイプ
たいぷ,タイプ
だいふくもち,大福餅
だいぶぶん,大部分
たいぶんすう,帯分数
たいへいよう,太平洋
たいむ,タイム
だいめいし,代名詞
たいや,タイヤ
だいや,ダイヤ
だいようしょく,代用食
だいようひん,代用品
たいようれき,太陽暦
たいらか,平らか
たいらぐ,平らぐ
たいりくだな,大陸棚
だいりさま,内裏様
だいりせき,大理石
たいる,タイル
だいろっかん,第六感
だうん,ダウン
たえず,絶えず
たえて,絶えて
たえま,絶え間
たえる,絶える
たえる,耐える
たおる,タオル
たおる,手折る
たおれる,倒れる
たがう,たがう
たがえる,違える
たかぐもり,高曇り
たかげた,高下駄
だがし,駄菓子
だがっき,打楽器
たかっけい,多角形
たかとび,高跳び
たかとび,高飛び
たかなり,高鳴り
たかなる,高鳴る
たかびしゃ,高飛車
たかぶる,高ぶる
たかまり,高まり
たかまる,高まる
たかめる,高める
だから,だから
たからか,高らか
たからか,高らか
たからくじ,宝くじ
たからくじ,宝くじ
たかる,たかる
たかわらい,高笑い
たきぎ,たきぎ
たきつぼ,滝つぼ
たきび,焚き火
たぎる,たぎる
たぐい,たぐい
だくおんぷ,濁音符
たくじしょ,託児所
たくする,託する
たくと,タクト
たくむ,たくむ
たぐる,手繰る
たくわえる,蓄える
たけがり,茸狩り
たけざいく,竹細工
たけど,だけど
たけのかわ,竹の皮
たけべら,竹べら
たけやり,竹やり
たける,たける
たける,たける
たける,たける
たける,たける
たしざん,足し算
たしまえ,足し前
だじゃれ,駄洒落
だす,−だす
たすかる,助かる
たすき,たすき
たすけぶね,助け舟
たすける,助ける
たずさえる,携える
たずさわる,携わる
たずねる,尋ねる
たずねる,尋ねる
たずねる,訪ねる
だする,堕する
たたき,たたき
たたき,たたき
たたき,たたき
たたく,たたく
ただし,ただし
ただしい,正しい
ただす,ただす
ただちに,直ちに
たたみがえ,畳替え
ただよわす,漂わす
たたり,たたり
たたる,たたる
たたる,たたる
ただれ,ただれ
たちい,立ち居
たちい,立ち居
たちき,立ち木
たちばなし,立ち話
たちばん,立ち番
たちめ,裁ち目
たっく,タック
だっこ,だっこ
だっしめん,脱脂綿
たっする,達する
だっする,脱する
だっする,脱する
たった,たった
たった,たった
たっち,タッチ
たって,たって
だって,だって
たつみ,たつみ
たていと,たて糸
たてごと,たて琴
たてつぼ,建て坪
たてふだ,立て札
たてまえ,建て前
たてまえ,建て前
たてもの,建て物
たてやくしゃ,立役者
たてる,たてる
たてる,建てる
たてる,立てる
たとい,たとい
たとえ,たとえ
たとえ,たとえ
たとえ,たとえ
たどる,たどる
たにあい,谷あい
たにし,たにし
たにんず,多人数
たぬき,たぬき
たねぎれ,種切れ
たねまき,種まき
たねんせい,多年生
たねんそう,多年草
たのしい,楽しい
たのしみ,楽しみ
たのしむ,楽しむ
たばこ,たばこ
たばこや,煙草屋
たびかせぎ,旅稼ぎ
たびげいにん,旅芸人
たびじたく,旅仕度
たびする,旅する
たびだち,旅立ち
たびだつ,旅立つ
たびづかれ,旅疲れ
たびまわり,旅回り
だぶり,ダブり
だぶる,ダブる
だぶる,ダブル
たぶん,たぶん
たぶんに,多分に
たべもの,食べ物
たべる,食べる
たほうめん,多方面
たまご,たまご
たまごやき,玉子焼
だまし,だまし
たまじゃり,玉砂利
だます,だます
たまつき,玉つき
たまてばこ,玉手箱
たまのり,玉乗り
たままつり,魂祭り
たまむしいろ,玉虫色
たまり,たまり
たまり,たまり
たまる,たまる
だまる,だまる
たまわる,賜わる
だみごえ,だみ声
たむけ,手向け
ためいき,ため息
ためいけ,ため池
ためおけ,溜め桶
ためし,ためし
ためし,ためし
ためす,ためす
ためる,ためる
ためる,ためる
たやす,絶やす
たゆむ,たゆむ
たより,たより
たらい,たらい
だらかん,ダラ幹
たらす,たらす
たらす,垂らす
たらす,垂らす
だらに,陀羅尼
たらり,たらり
だらり,だらり
だりあ,ダリア
たりる,足りる
だるい,だるい
だるま,だるま
たるみ,たるみ
たるみ,たるみ
たるむ,たるむ
たれる,垂れる
たれる,垂れる
だれる,だれる
たわあ,タワー
たわけ,たわけ
たわし,たわし
たわむ,たわむ
たわわ,たわわ
たんか,たんか
たんきょり,短距離
たんく,タンク
たんこうぼん,単行本
たんじかん,短時間
たんじじつ,短時日
たんじつげつ,短日月
だんじて,断じて
だんす,ダンス
だんす,ダンス
たんずる,嘆ずる
だんずる,弾ずる
だんずる,弾ずる
だんずる,断ずる
だんずる,談ずる
だんせいたい,弾性体
だんせいてき,男性的
だんせいてき,男性的
たんと,たんと
だんどり,段どり
たんなる,単なる
たんぱくしつ,蛋白質
たんびてき,耽美的
たんぺいきゅう,短兵急
たんぼ,たんぼ
だんまつま,断末魔
ちいさい,小さい
ちいさな,小さな
ちいず,チーズ
ちいむ,チーム
ちがえる,違える
ちかけい,地下茎
ちかごろ,近ごろ
ちかしい,近しい
ちかしつ,地下室
ちかすい,地下水
ちかづき,近づき
ちかづき,近づき
ちかづく,近づく
ちかてつ,地下鉄
ちかどう,地下道
ちかよる,近寄る
ちからおとし,力落し
ちからこぶ,力こぶ
ちからしごと,力仕事
ちからずく,力ずく
ちからぞえ,力添え
ちからづく,力づく
ちからづよい,力強い
ちからぬけ,力抜け
ちからもち,力持ち
ちからわざ,力わざ
ちきゅうぎ,地球儀
ちきょうだい,乳兄弟
ちぎる,ちぎる
ちくおんき,蓄音器
ちくごてき,逐語的
ちくでんち,蓄電池
ちくり,ちくり
ちくわ,ちくわ
ちしりょう,致死量
ちしんじ,遅進児
ちすじ,血すじ
ちちくさい,乳臭い
ちぢに,ちぢに
ちぢまる,縮まる
ちぢめる,縮める
ちぢらす,縮らす
ちちれがみ,縮れ髪
ちぢれげ,縮れ毛
ちぢれる,縮れる
ちっと,ちっと
ちっぷ,チップ
ちどめ,血止め
ちどり,ちどり
ちどりあし,千鳥足
ちなみ,ちなみ
ちなむ,ちなむ
ちばしる,血走る
ちびり,ちびり
ちびる,ちびる
ちふす,チフス
ちへいせん,地平線
ちほうしょく,地方色
ちまき,ちまき
ちまよう,血迷う
ちめいしょう,致命傷
ちめいてき,致命的
ちゃがし,茶菓子
ちゃかす,茶化す
ちゃかっしょく,茶褐色
ちゃがら,茶がら
ちゃくする,着する
ちゃくする,着する
ちゃさじ,茶さじ
ちゃだんす,茶箪笥
ちゃち,ちゃち
ちゃづけ,茶づけ
ちゃつみ,茶摘み
ちゃのま,茶の間
ちゃのゆ,茶の湯
ちゃぼ,ちゃぼ
ちゃま,ちゃま
ちゃわかい,茶話会
ちゃわん,茶わん
ちゃん,ちゃん
ちゅうがえり,宙返り
ちゅうがくせい,中学生
ちゅうがっこう,中学校
ちゅうごくじん,中国人
ちゅうじえん,中耳炎
ちゅうしょうか,抽象化
ちゅうしょうてき,抽象的
ちゅうしょうてき,抽象的
ちゅうしんてき,中心的
ちゅうする,沖する
ちゅうする,誅する
ちゅうっぱら,中っ腹
ちゅうどしま,中年増
ちゅうのり,宙乗り
ちゅうばいか,虫媒花
ちゅうれいとう,忠霊塔
ちょう,ちょう
ちょうおんき,聴音機
ちょうかんず,鳥瞰図
ちょうきょり,長距離
ちょうけし,帳消し
ちょうしかく,聴視覚
ちょうじかん,長時間
ちょうしんき,聴診器
ちょうずば,手水場
ちょうする,弔する
ちょうする,弔する
ちょうする,徴する
ちょうずる,長ずる
ちょうずる,長ずる
ちょうずる,長ずる
ちょうづけ,帳付け
ちょうはつてき,挑発的
ちょうほうけい,長方形
ちょうほんにん,張本人
ちょうみりょう,調味料
ちよがみ,千代紙
ちょくほうたい,直方体
ちょこざい,猪口才
ちょさくけん,著作権
ちょさっか,著作家
ちょすいち,貯水池
ちょめいじん,著名人
ちらし,散らし
ちらす,散らす
ちらり,ちらり
ちりがみ,ちり紙
ちりとり,塵取り
ちんあげ,賃上げ
ちんがし,賃貸し
ちんがり,賃借り
ちんしごと,賃仕事
ちんつうざい,鎮痛剤
ちんば,ちんば
ついえ,ついえ
ついえる,潰える
ついえる,費える
ついじ,ついじ
ついしけん,追試験
ついぞ,ついぞ
ついたて,衝立て
ついて,就いて
ついで,ついで
ついで,次いで
ついと,ついと
ついやす,費やす
つうこうぜい,通行税
つうしんぼ,通信簿
つうずる,通ずる
つうずる,通ずる
つがい,つがい
つかえる,仕える
つかえる,仕える
つかえる,支える
つかのま,束の間
つかみ,つかみ
つかむ,つかむ
つからす,疲らす
つかる,つかる
つかる,漬かる
つかれる,疲れる
つかわす,遣わす
つきおくれ,月遅れ
つきかげ,月かげ
つきがけ,月掛け
つぎき,接ぎ木
つぎき,接ぎ木
つきぎめ,月極め
つきごし,月越し
つきごと,月ごと
つきそい,付添い
つぎつぎに,次々に
つきなかば,月半ば
つきなみ,月並み
つきはじめ,月初め
つきばらい,月払い
つぎほ,接ぎ穂
つぎめ,つぎ目
つきもの,つき物
つきる,尽きる
つきわり,月割り
つくし,つくし
つくし,尽くし
つくし,尽くし
つくす,尽くす
つぐむ,つぐむ
つくり,つくり
つくりごえ,作り声
つくりごと,作り事
つくりばなし,作り話
つくりめ,作り目
づけ,−漬け
つけがわ,付け側
つげぐち,告げ口
つけな,漬け菜
つけね,つけ根
つけび,つけ火
つけめ,付け目
つけもの,漬け物
つける,つける
つける,着ける
つける,着ける
つける,漬ける
つける,付ける
つげる,告げる
つじぎり,辻斬り
つじごうとう,辻強盗
つじばしゃ,辻馬車
つたう,つたう
つたえる,伝える
つたえる,伝える
つたわる,伝わる
つたわる,伝わる
つちくれ,土くれ
つちもり,土盛り
つちよせ,土寄せ
つづきがら,続き柄
つつく,つつく
つづける,続ける
つつじ,つつじ
つっと,つっと
つつぬけ,筒抜け
つつみがみ,包み紙
つづら,つづら
つづり,つづり
つづる,つづる
つづれ,つづれ
つどう,つどう
つとまる,勤まる
つとめぐち,勤め口
つとめさき,勤め先
つとめて,努めて
つとめにん,勤め人
つとめる,勤める
つとめる,努める
つなぎ,つなぎ
つなぐ,つなぐ
つなひき,綱引き
つなわたり,綱渡り
つねる,つねる
つばき,つばき
つばき,つばき
つばさ,つばさ
つばめ,つばめ
つぶさ,つぶさ
つぶす,つぶす
つぶす,つぶす
つぶて,つぶて
つぶより,粒より
つぶる,つぶる
つぼむ,つぼむ
つまみ,つまみ
つまむ,つまむ
つまり,つまり
つまる,詰まる
つまる,詰まる
つみき,積み木
つみくさ,摘み草
つみする,罪する
つみつくり,罪作り
つみつくり,罪作り
つみとが,罪とが
つみに,積み荷
つみぶかい,罪深い
つむじ,つむじ
つむる,つむる
づめ,−づめ
つめえり,詰め衿
つめきり,爪切り
つめたい,冷たい
つめる,つめる
つめる,詰める
つもり,つもり
つもる,積もる
つゆはらい,露払い
つゆはらい,露払い
つよがり,強がり
つよまる,強まる
つよめる,強める
つらあて,面当て
つらがまえ,面構え
つらなり,連なり
つらなる,連なる
つらにくい,面憎い
つらぬく,貫ぬく
つらぬく,貫ぬく
つらねる,連ねる
つらよごし,面汚し
つらら,つらら
つりあい,釣合い
つりかわ,つり革
つりざお,つり竿
つりせん,つり銭
つりて,つり手
つりどうぐ,釣道具
つりばし,釣り橋
つりばり,釣り針
つりぶね,釣り舟
つりぼり,釣り堀
つるぎ,つるぎ
つるし,つるし
つるす,つるす
つるべ,つるべ
つるり,つるり
つれあい,連合い
つれこ,連れ子
つれる,つれる
つれる,つれる
つれる,つれる
つれる,連れる
つわり,つわり
つんと,つんと
であう,出会う
であう,出会う
てあつい,手厚い
てあみ,手編み
てあらい,手洗い
てあわせ,手合せ
でぃいでぃいてぃい,ＤＤＴ
ていきあつ,低気圧
ていきけん,定期券
ていきゅうび,定休日
ていじけい,丁字形
ていしゃじょう,停車場
ていしゃば,停車場
ていじろ,丁字路
ていする,呈する
ていそくすう,定足数
ていたい,手痛い
ていのうじ,低能児
ていよい,体よい
ていよく,体よく
でいり,出入り
ていりゅうじょ,停留所
ていれ,手入れ
てうえ,手植え
てうち,手打ち
てうち,手打ち
でえた,データ
でえと,デート
てえぷ,テープ
てえま,テーマ
ておい,手負い
ておくれ,手遅れ
ておち,手落ち
ておどり,手踊り
ており,手織り
ており,手織り
でかけ,出かけ
てかげん,手加減
てかげん,手加減
てかご,手かご
でかす,でかす
でかせぎ,出稼ぎ
てがたい,手堅い
てきがいしん,敵愾心
できごころ,出来心
できごと,出来事
てきず,手きず
てきする,敵する
てきする,適する
できだか,出来高
できね,出来値
できぶつ,出来物
てきみかた,敵味方
できる,できる
できる,出来る
てくばり,手配り
てごろ,手ごろ
でさかり,出盛り
てさぐり,手探り
てさげ,手提げ
てすうりょう,手数料
てすき,手すき
ですぎ,出過ぎ
ですぎ,出過ぎ
てすと,テスト
てすり,手すり
でぞめ,出初め
でぞめ,出初め
てだし,手出し
てだすけ,手助け
てだて,手だて
てだて,手だて
てちがい,手違い
てつき,手つき
でっき,デッキ
てづくり,手作り
てつけ,手付け
てっこうじょう,鉄工場
てっこうば,鉄工場
てつじょうもう,鉄条網
てっする,徹する
てつだう,手伝う
でっちょうそう,粘葉装
てつづき,手続き
てっていてき,徹底的
でっぱ,出っ歯
てっぽうだま,鉄砲玉
てつめんぴ,鉄面皮
てつめんぴ,鉄面皮
ててなし,父無し
てどり,手取り
てどり,手捕り
てなあ,テナー
てなおし,手直し
でなおし,出直し
でなおす,出直す
てなぐさみ,手慰み
てならい,手習い
てにす,テニス
てにもつ,手荷物
てぬい,手縫い
てぬぐい,手拭い
てはじめ,手始め
でばしょ,出場所
てはず,手はず
ではな,出はな
てばなし,手放し
てばなす,手放す
てばやい,手早い
てばやい,手早い
ではらう,出払う
でばり,出はり
でばる,出ばる
てびかえ,手控え
てびき,手びき
てびょうし,手拍子
てびろい,手広い
てぶそく,手不足
てふだがた,手札形
てぶら,手ぶら
てぶり,手振り
でふれ,デフレ
でほうだい,出放題
てまちん,手間賃
てまね,手まね
てまねき,手招き
てまめ,手まめ
てまり,手まり
てまわし,手回し
でまわり,出回り
てみじか,手短か
でむかえ,出迎え
でむく,出向く
でもたい,デモ隊
てもち,手持ち
てもと,手もと
でもどり,出戻り
てもり,手盛り
でもる,デモる
てらう,てらう
てらこや,寺子屋
てらす,照らす
てりょうり,手料理
てる,Ｔｅｌ
てれび,テレビ
てれる,てれる
てわけ,手わけ
てわたし,手渡し
てわたす,手渡す
てんきけん,天気圏
てんきず,天気図
てんじかい,展示会
でんじき,電磁気
でんじしゃく,電磁石
でんじは,電磁波
てんしゅかく,天守閣
でんしんき,電信機
でんしんばしら,電信柱
てんずる,転ずる
てんずる,転ずる
てんずる,点ずる
てんせいの,天成の
てんで,てんで
てんと,テント
でんどうき,電動機
てんとり,点取り
でんねつき,電熱器
てんねんしょく,天然色
てんねんとう,天然痘
てんのうせい,天王星
てんのうせい,天皇制
てんぴ,てんぴ
てんびき,天引き
てんぴんの,天禀の
てんぷの,天賦の
てんぽ,テンポ
てんもんだい,天文台
てんらんかい,展覧会
でんわき,電話機
でんわせん,電話線
とあみ,とあみ
とある,とある
といあわせ,問合せ
どいつ,どいつ
どいつ,ドイツ
どうあげ,胴上げ
とういす,藤椅子
とうおんせん,等温線
どうか,どうか
とうかいどう,東海道
どうかせん,導火線
どうぎご,同義語
とうこうせん,等高線
とうじしゃ,当事者
とうしゃばん,謄写版
とうしゃばん,謄写版
どうしょくぶつ,動植物
とうずる,投ずる
どうずる,動ずる
どうせ,どうせ
どうぞ,どうぞ
どうそうかい,同窓会
どうつぎ,胴接ぎ
どうつぎ,胴接ぎ
どうと,どうと
とうどり,頭取り
とうに,とうに
どうぶつえん,動物園
とうふや,豆腐屋
とうへんぼく,唐変木
どうも,どうも
とうりゅうもん,登竜門
とおか,とおか
とおのく,遠のく
とおのり,遠乗り
とおぼえ,遠吠え
とおまき,遠巻き
とおまき,遠巻き
とおまわり,遠回り
とおりあめ,通り雨
とおりま,通り魔
とおりみち,通り道
どがいし,度外視
とがき,ト書き
とかく,とかく
とかげ,とかげ
とかす,解かす
とかす,溶かす
とがめ,とがめ
とがり,とがり
とがる,とがる
ときいろ,とき色
ときおり,時折り
ときたま,時たま
ときたま,時たま
ときめく,時めく
ときょうそう,徒競走
とぎれ,とぎれ
ときわ,ときわ
ときわぎ,常磐木
どきん,どきん
どきん,どきん
どくがす,毒ガス
どくけし,毒消し
どくごかん,読後感
とくしか,篤志家
とくする,得する
どくする,毒する
とくだね,特だね
どくへび,毒へび
とぐろ,とぐろ
とけいや,時計屋
どげざ,土下座
とける,解ける
とける,溶ける
とげる,遂げる
どける,どける
どけんや,土建屋
とこあげ,床上げ
とごと,戸ごと
とこのま,床の間
どこら,どこら
ところ,ところ
ところえがお,所得顔
ところがき,所書き
とさか,とさか
とざす,閉ざす
どさり,どさり
とじいと,とじ糸
としがい,年がい
としかさ,年かさ
としこし,年越し
としごと,年ごと
としごろ,年ごろ
としのいち,年の市
とじばり,とじ針
とじめ,とじ目
どしょうぼね,土性骨
としょかん,図書館
としより,年寄り
としよる,年寄る
どしり,どしり
とじる,綴じる
とじる,閉じる
どしん,どしん
とする,賭する
とたん,トタン
どちら,どちら
どちら,どちら
どっく,ドック
とっこうやく,特効薬
どっち,どっち
どっち,どっち
どっと,どっと
とっぷ,トップ
とつめんきょう,凸面鏡
とても,とても
とても,とても
どてら,どてら
とどける,届ける
とどける,届ける
とどける,届ける
ととのえる,整える
とどめ,とどめ
となえる,唱える
どなた,どなた
となりきんじょ,隣近所
どなる,どなる
とばす,飛ばす
とばり,とばり
とびいし,飛び石
とびひ,飛び火
どぶん,どぶん
とぼけ,とぼけ
とぼしい,乏しい
とます,富ます
とまと,トマト
とまどい,戸惑い
とまりきゃく,泊り客
とまる,止まる
とまる,泊まる
とみくじ,富くじ
とめばり,留め針
とめる,止める
とめる,止める
とめる,泊める
ともえ,ともえ
ともかせぎ,共稼ぎ
ともかせぎ,共稼ぎ
ともぐい,共食い
ともす,ともす
ともす,ともす
ともだおれ,共倒れ
ともだち,友だち
