うでっぷし,腕っぷし
うでまくり,腕まくり
うとうと,うとうと
うなずく,うなずく
うぬぼれ,うぬぼれ
うねうね,うねうね
うばいとる,奪い取る
うまれかわり,生れ変り
うまれこきょう,生れ故郷
うまれつき,生れつき
うまれる,生まれる
うみせんやません,海千山千
うみせんやません,海千山千
うみだす,産み出す
うめきごえ,うめき声
うめたて,埋め立て
うもれる,うもれる
うやむや,うやむや
うようよ,うようよ
うようよ,うようよ
うよきょくせつ,紆余曲折
うらうら,うらうら
うらかふす,裏カフス
うらづける,裏付ける
うらない,うらない
うらなう,うらなう
うらなり,うらなり
うらはら,うらはら
うらやむ,うらやむ
うららか,うららか
うらわかい,うら若い
うりあげ,売り上げ
うりかい,売り買い
うりかけ,売り掛け
うりきる,売り切る
うりきれ,売り切れ
うりぐい,売り食い
うりことば,売り言葉
うりこみ,売り込み
うりこむ,売り込む
うりさばき,売り捌き
うりだし,売り出し
うりだす,売り出す
うりはらう,売り払う
うりわたし,売り渡し
うりわたす,売り渡す
うるおい,うるおい
うるおう,うるおう
うるおす,うるおす
うるさい,うるさい
うるさい,うるさい
うるさがた,うるさ型
うれしなき,嬉し泣き
うれしなみだ,うれし涙
うれっこ,売れっ子
うれのこり,売れ残り
うれのこる,売れ残る
うれゆき,売れ行き
うろうろ,うろうろ
うろおぼえ,うろ覚え
うろつく,うろつく
うわがり,うわ借り
うわごと,うわごと
うわすべり,上すべり
うわつく,浮わつく
うわっぱり,上っ張り
うわつら,うわつら
うんざり,うんざり
うんずる,うんずる
うんだめし,運だめし
えがきだす,描き出す
えきでんきょうそう,駅伝競走
えぐらふ,絵グラフ
えぞまつ,えぞまつ
えてかって,得手勝手
えどっこ,江戸っ子
えなめる,エナメル
えぷろん,エプロン
えもんかけ,衣紋かけ
えらびとる,選び取る
えりあし,えりあし
えりこのみ,選り好み
えりぬき,えり抜き
えりぬく,えりぬく
えりもと,えりもと
えんえん,えんえん
えんじん,エンジン
えんぜる,エンゼル
えんつづき,縁つづき
えんてんかつだつ,円転滑脱
えんてんかつだつ,円転滑脱
えんどう,えんどう
えんばんなげ,円盤投げ
えんまちょう,えんま帳
えんりょない,遠慮ない
おあしす,オアシス
おいうち,追い撃ち
おいうつ,追い撃つ
おいおい,オイオイ
おいおい,追い追い
おいおい,追い追い
おいかえす,追い帰す
おいかえす,追い帰す
おいごえ,追い肥え
おいこす,追い越す
おいこみ,追い込み
おいしい,おいしい
おいしげる,生い茂る
おいだき,追いだき
おいだし,追い出し
おいだす,追い出す
おいだす,追い出す
おいたち,生い立ち
おいたて,追い立て
おいつく,追いつく
おいつく,追い付く
おいぬく,追い抜く
おいはぎ,追い剥ぎ
おいばね,追いばね
おいはらう,追い払う
おいぼれ,おいぼれ
おうごんじだい,黄金時代
おうむがえし,鸚鵡返し
おうれんず,凹レンズ
おおがかり,大掛かり
おおかみ,おおかみ
おおぐらい,大食らい
おおけえ,オーケー
おおざっぱ,大ざっぱ
おおざっぱ,大ざっぱ
おおしい,雄々しい
おおじかけ,大仕掛け
おおづかみ,大づかみ
おおばあ,オーバー
おおばこ,おおばこ
おおぷん,オープン
おおみそか,大みそか
おおむぎ,おおむぎ
おおむこう,大向こう
おおむね,おおむね
おおやけ,おおやけ
おおやまと,大やまと
おおよそ,おおよそ
おおらい,オーライ
おおらかに,大らかに
おおろら,オーロラ
おかしい,おかしい
おかしい,おかしい
おかしい,おかしい
おかしらつき,尾頭付き
おかっぱ,おかっぱ
おかどちがい,お門違い
おかどちがい,お門違い
おきかえ,置き換え
おきざり,置き去り
おきてがみ,置き手紙
おきぬけ,起きぬけ
おきぬけ,起きぬけ
おきふし,起き伏し
おきゃん,おきゃん
おくにことば,お国言葉
おくらす,おくらす
おくりかえす,送り帰す
おくりがな,送りがな
おくりこむ,送りこむ
おくりこむ,送り込む
おくりこむ,送り込む
おくりだす,送り出す
おくりだす,送り出す
おくりだす,送り出す
おくりむかえ,送り迎え
おくれる,おくれる
おごそか,おごそか
おさえる,押さえる
おさおさ,おさおさ
おさがり,お下がり
おさだまり,お定まり
おさなご,おさなご
おしあい,押し合い
おしあう,押し合う
おしいる,押し入る
おしえこむ,教え込む
おしかえす,押し返す
おしきる,押し切る
おしきる,押し切る
おじける,おじける
おしこみ,押し込み
おしこむ,押し込む
おしころす,おし殺す
おじさん,おじさん
おじさん,おじさん
おしたおす,押し倒す
おしだし,押し出し
おしだす,押し出す
おしとおす,押し通す
おしとおす,押し通す
おしどり,おしどり
おしはかる,推し量る
おしもどす,押し戻す
おしもんどう,押し問答
おしゃく,おしゃく
おしゃれ,おしゃれ
おじゃん,おじゃん
おじょうさん,お嬢さん
おじょうさん,お嬢さん
おしろい,おしろい
おずおず,おずおず
おそうまれ,遅生まれ
おそまき,おそまき
おそらく,おそらく
おそるおそる,恐る恐る
おそれおおい,恐れ多い
おそろしい,恐ろしい
おたがいに,お互いに
おたずねもの,お尋ね者
おたずねもの,お尋ね者
おたずねもの,お尋ね者
おだてる,おだてる
おたふく,おたふく
おだぶつ,おだぶつ
おだやか,おだやか
おちあう,落ち合う
おちいる,おちいる
おちおち,おちおち
おちこち,おちこち
おちこむ,落ち込む
おちつき,落ち着き
おちつく,おちつく
おちむしゃ,落ち武者
おちゆく,落ち行く
おっさん,おっさん
おっつけ,追っつけ
おっとり,おっとり
おっとり,おっとり
おっぱい,おっぱい
おっぱらう,追っ払う
おてあげ,お手上げ
おてのもの,お手の物
おてもり,お手盛り
おてんとさま,お天道様
おてんば,おてんば
おてんば,おてんば
おどおど,おどおど
おとがい,おとがい
おどかし,おどかし
おどかす,おどかす
おどかす,おどかす
おどける,おどける
おとこまさり,男まさり
おとこらしい,男らしい
おとしあな,落とし穴
おとしばなし,落とし話
おとしもの,落とし物
おととい,おととい
おととし,おととし
おどりこむ,躍り込む
おどろきいる,驚き入る
おにぎり,おにぎり
おにごっこ,鬼ごっこ
おのおの,おのおの
おのおの,おのおの
おのずと,おのずと
おののく,おののく
おののく,おののく
おばさん,おばさん
おばさん,おばさん
おはよう,おはよう
おはらいばこ,お払い箱
おびえる,おびえる
おひとよし,お人好し
おひとよし,お人好し
おふくろ,おふくろ
おぶさる,おぶさる
おべっか,おべっか
おぼえがき,覚え書き
おぼえず,おぼえず
おぼえる,おぼえる
おぼれる,おぼれる
おぼろげ,おぼろげ
おまけに,おまけに
おまけに,おまけに
おまつりさわぎ,お祭騒ぎ
おまわり,おまわり
おみくじ,おみくじ
おみこし,おみこし
おむれつ,オムレツ
おめおめ,おめおめ
おめがね,おめがね
おめしもの,お召し物
おめでた,おめでた
おめでた,おめでた
おめみえ,お目見え
おもいあまる,思い余る
おもいかえす,思い返す
おもいかえす,思い返す
おもいきや,思いきや
おもいきり,思い切り
おもいきり,思い切り
おもいきる,思い切る
おもいこむ,思いこむ
おもいしる,思い知る
おもいだす,思い出す
おもいたつ,思い立つ
おもいちがい,思い違い
おもいつき,思いつき
おもいつく,思いつく
おもいどおり,思い通り
おもいなおす,思い直す
おもいなし,思いなし
おもいなやむ,思い悩む
おもいのこす,思い残す
おもいまよう,思い迷う
おもいやり,思いやり
おもいやる,思いやる
おもいやる,思いやる
おもいわずらう,思い煩う
おもうぞんぶん,思う存分
おもおもしい,重々しい
おもおもしい,重々しい
おもくるしい,重苦しい
おもしろがる,面白がる
おもだつ,おもだつ
おもちゃ,おもちゃ
おもてかふす,表カフス
おもねる,おもねる
おもはゆい,面はゆい
おもむく,おもむく
おもむろ,おもむろ
おもわしい,思わしい
おもんずる,重んずる
おやがかり,親がかり
おやがわり,親代わり
おやしらず,親知らず
おやすみ,おやすみ
おらんだ,オランダ
おりあい,折り合い
おりあう,折り合う
おりあしく,折あしく
おりいぶ,オリーブ
おりかえし,折り返し
おりかえす,折り返す
おりがみつき,折紙付き
おりこみ,折り込み
おりこむ,織り込む
おりこむ,折り込む
おりだす,織り出す
おりたたみ,折り畳み
おりたたむ,折り畳む
おりづめ,折り詰め
おりなす,織りなす
おるがん,オルガン
おれあう,折れ合う
おれんじ,オレンジ
おろおろ,おろおろ
おろそか,おろそか
おんしらず,恩知らず
おんでる,おん出る
おんどり,おんどり
おんなだてら,女だてら
おんならしい,女らしい
おんぴょうもじ,音標文字
おんぼろ,おんぼろ
かあさま,かあさま
かあさん,かあさん
かあてん,カーテン
かあぶせん,カーブ線
かいかぶる,買い被る
かいきる,買い切る
かいぐい,買い食い
かいことば,買い言葉
かいこむ,買い込む
かいごろし,飼い殺し
かいしめ,買い占め
かいしめ,買い占め
かいすいよくじょう,海水浴場
かいだす,かい出す
かいだす,買い出す
かいだめ,買いだめ
かいちゅうどけい,懐中時計
かいとる,買い取る
かいねこ,飼いねこ
かいまみる,垣間見る
かいめん,かいめん
かいもどす,買い戻す
かうんと,カウント
かえすがえす,返す返す
かえって,かえって
かえりがけ,帰りがけ
かえりざき,返り咲き
かえりざき,返り咲き
かえりざく,返り咲く
かえりしな,帰りしな
かおあわせ,顔合わせ
かかえる,かかえる
かかえる,かかえる
かかげる,かかげる
かかたいしょう,呵呵大笑
かがまる,かがまる
かがめる,かがめる
かがやかしい,輝かしい
かがやかしい,輝かしい
かがりび,かがり火
かかりむすび,係り結び
かかわり,かかわり
かかわる,かかわる
かきいれ,書き入れ
かきおき,書き置き
かきおくる,書き送る
かきかえ,書き換え
かきけす,掻き消す
かきことば,書き言葉
かきこみ,書き込み
かきこむ,書き込む
かきそこない,書き損い
かきぞめ,書き初め
かきそんじ,書き損じ
がきだいしょう,餓鬼大将
がきだいしょう,餓鬼大将
かきだし,書き出し
