一中	169
珍獣	ちんじゅう
猛獣	もうじゅう
野獣	やじゅう

四球	37
四囲	しい
四界	しかい
四角	しかく
四季	しき
四五	しご
四国	しこく
四散	しさん
四肢	しし
四十	しじゅう
四大	しだい
四半	しはん
四辺	しへん
四方	しほう
四面	しめん
四隅	よすみ
四方	よも
四十	よんじゆう
四千	よんせん
四百	よんひゃく
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

四重	41
四囲	しい
四界	しかい
四角	しかく
四季	しき
四球	しきゅう
四五	しご
四国	しこく
四散	しさん
四肢	しし
四十	しじゅう
四大	しだい
四半	しはん
四辺	しへん
四方	しほう
四面	しめん
四隅	よすみ
四方	よも
四十	よんじゆう
四千	よんせん
四百	よんひゃく
幾重	いくえ
加重	かじゅう
荷重	かじゅう
過重	かじゅう
貴重	きちょう
軽重	けいじゅう
軽重	けいちょう
厳重	げんじゅう
自重	じちょう
慎重	しんちょう
荘重	そうちょう
尊重	そんちょう
体重	たいじゅう
珍重	ちんちょう
鄭重	ていちょう
鈍重	どんじゅう
二重	にじゅう
比重	ひじゅう
二重	ふたえ
偏重	へんちょう
八重	やえ

回収	40
回向	えこう
回忌	かいき
回帰	かいき
回教	かいきょう
回顧	かいこ
回航	かいこう
回春	かいしゅん
回診	かいしん
回数	かいすう
回生	かいせい
回船	かいせん
回想	かいそう
回漕	かいそう
回送	かいそう
回天	かいてん
回転	かいてん
回答	かいとう
回読	かいどく
回避	かいひ
回復	かいふく
回遊	かいゆう
回覧	かいらん
回礼	かいれい
回路	かいろ
回廊	かいろう
回し	まわし
吸収	きゅうしゅう
月収	げっしゅう
減収	げんしゅう
査収	さしゅう
実収	じっしゅう
接収	せっしゅう
増収	ぞうしゅう
徴収	ちょうしゅう
撤収	てっしゅう
年収	ねんしゅう
買収	ばいしゅう
没収	ぼっしゅう
未収	みしゅう
領収	りょうしゅう

回流	68
回向	えこう
回忌	かいき
回帰	かいき
回教	かいきょう
回顧	かいこ
回航	かいこう
回収	かいしゅう
回春	かいしゅん
回診	かいしん
回数	かいすう
回生	かいせい
回船	かいせん
回想	かいそう
回漕	かいそう
回送	かいそう
回天	かいてん
回転	かいてん
回答	かいとう
回読	かいどく
回避	かいひ
回復	かいふく
回遊	かいゆう
回覧	かいらん
回礼	かいれい
回路	かいろ
回廊	かいろう
回し	まわし
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

回虫	38
回向	えこう
回忌	かいき
回帰	かいき
回教	かいきょう
回顧	かいこ
回航	かいこう
回収	かいしゅう
回春	かいしゅん
回診	かいしん
回数	かいすう
回生	かいせい
回船	かいせん
回想	かいそう
回漕	かいそう
回送	かいそう
回天	かいてん
回転	かいてん
回答	かいとう
回読	かいどく
回避	かいひ
回復	かいふく
回遊	かいゆう
回覧	かいらん
回礼	かいれい
回路	かいろ
回廊	かいろう
回し	まわし
益虫	えきちゅう
害虫	がいちゅう
毛虫	けむし
甲虫	こうちゅう
昆虫	こんちゅう
成虫	せいちゅう
田虫	たむし
毒虫	どくむし
水虫	みずむし
幼虫	ようちゅう
弱虫	よわむし

回遊	32
回向	えこう
回忌	かいき
回帰	かいき
回教	かいきょう
回顧	かいこ
回航	かいこう
回収	かいしゅう
回春	かいしゅん
回診	かいしん
回数	かいすう
回生	かいせい
回船	かいせん
回想	かいそう
回漕	かいそう
回送	かいそう
回天	かいてん
回転	かいてん
回答	かいとう
回読	かいどく
回避	かいひ
回復	かいふく
回覧	かいらん
回礼	かいれい
回路	かいろ
回廊	かいろう
回し	まわし
外遊	がいゆう
豪遊	ごうゆう
周遊	しゅうゆう
清遊	せいゆう
浮遊	ふゆう
漫遊	まんゆう

因習	24
因果	いんが
因子	いんし
因循	いんじゅん
因数	いんすう
因縁	いんねん
因る	よる
悪習	あくしゅう
演習	えんしゅう
温習	おんしゅう
学習	がくしゅう
慣習	かんしゅう
奇習	きしゅう
旧習	きゅうしゅう
教習	きょうしゅう
講習	こうしゅう
自習	じしゅう
実習	じっしゅう
常習	じょうしゅう
独習	どくしゅう
風習	ふうしゅう
復習	ふくしゅう
補習	ほしゅう
予習	よしゅう
練習	れんしゅう

因襲	17
因果	いんが
因子	いんし
因習	いんしゅう
因循	いんじゅん
因数	いんすう
因縁	いんねん
因る	よる
奇襲	きしゅう
逆襲	ぎゃくしゅう
急襲	きゅうしゅう
強襲	きょうしゅう
空襲	くうしゅう
熊襲	くまそ
世襲	せしゅう
踏襲	とうしゅう
夜襲	やしゅう
来襲	らいしゅう

困窮	8
困る	こまる
困却	こんきゃく
困苦	こんく
困難	こんなん
困憊	こんぱい
困惑	こんわく
貧窮	ひんきゅう
無窮	むきゅう

固有	27
固唾	かたず
固め	かため
固形	こけい
固持	こじ
固辞	こじ
固執	こしつ
固守	こしゅ
固執	こしゅう
固体	こたい
固着	こちゃく
固定	こてい
固陋	ころう
含有	がんゆう
享有	きょうゆう
共有	きょうゆう
稀有	けう
公有	こうゆう
国有	こくゆう
個有	こゆう
私有	しゆう
所有	しょゆう
占有	せんゆう
専有	せんゆう
特有	とくゆう
万有	ばんゆう
保有	ほゆう
領有	りょうゆう

国有	87
国柄	くにがら
国々	くにぐに
国民	くにたみ
国造	くにのみやつこ
国別	くにべつ
国許	くにもと
国威	こくい
国運	こくうん
国営	こくえい
国王	こくおう
国外	こくがい
国学	こくがく
国技	こくぎ
国境	こくきょう
国語	こくご
国号	こくごう
国債	こくさい
国際	こくさい
国策	こくさく
国産	こくさん
国史	こくし
国事	こくじ
国字	こくじ
国璽	こくじ
国手	こくしゅ
国書	こくしょ
国情	こくじょう
国辱	こくじょく
国粋	こくすい
国是	こくぜ
国勢	こくせい
国政	こくせい
国税	こくぜい
国籍	こくせき
国葬	こくそう
国賊	こくぞく
国体	こくたい
国定	こくてい
国鉄	こくてつ
国電	こくでん
国土	こくど
国道	こくどう
国内	こくない
国難	こくなん
国費	こくひ
国賓	こくひん
国府	こくふ
国風	こくふう
国文	こくぶん
国宝	こくほう
国法	こくほう
国防	こくぼう
国民	こくみん
国務	こくむ
国名	こくめい
国訳	こくやく
国立	こくりつ
国力	こくりょく
国連	こくれん
国論	こくろん
国家	こっか
国歌	こっか
国花	こっか
国会	こっかい
国旗	こっき
国境	こっきょう
国禁	こっきん
国警	こっけい
国憲	こっけん
国権	こっけん
国庫	こっこ
国交	こっこう
含有	がんゆう
享有	きょうゆう
共有	きょうゆう
稀有	けう
公有	こうゆう
個有	こゆう
固有	こゆう
私有	しゆう
所有	しょゆう
占有	せんゆう
専有	せんゆう
特有	とくゆう
万有	ばんゆう
保有	ほゆう
領有	りょうゆう

国風	136
国柄	くにがら
国々	くにぐに
国民	くにたみ
国造	くにのみやつこ
国別	くにべつ
国許	くにもと
国威	こくい
国運	こくうん
国営	こくえい
国王	こくおう
国外	こくがい
国学	こくがく
国技	こくぎ
国境	こくきょう
国語	こくご
国号	こくごう
国債	こくさい
国際	こくさい
国策	こくさく
国産	こくさん
国史	こくし
国事	こくじ
国字	こくじ
国璽	こくじ
国手	こくしゅ
国書	こくしょ
国情	こくじょう
国辱	こくじょく
国粋	こくすい
国是	こくぜ
国勢	こくせい
国政	こくせい
国税	こくぜい
国籍	こくせき
国葬	こくそう
国賊	こくぞく
国体	こくたい
国定	こくてい
国鉄	こくてつ
国電	こくでん
国土	こくど
国道	こくどう
国内	こくない
国難	こくなん
国費	こくひ
国賓	こくひん
国府	こくふ
国文	こくぶん
国宝	こくほう
国法	こくほう
国防	こくぼう
国民	こくみん
国務	こくむ
国名	こくめい
国訳	こくやく
国有	こくゆう
国立	こくりつ
国力	こくりょく
国連	こくれん
国論	こくろん
国家	こっか
国歌	こっか
国花	こっか
国会	こっかい
国旗	こっき
国境	こっきょう
国禁	こっきん
国警	こっけい
国憲	こっけん
国権	こっけん
国庫	こっこ
国交	こっこう
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

土中	87
土色	つちいろ
土車	つちぐるま
土煙	つちけむり
土船	つちふね
土塊	どかい
土方	どかた
土管	どかん
土器	どき
土偶	どぐう
土建	どけん
土語	どご
土工	どこう
土質	どしつ
土砂	どしゃ
土壌	どじょう
土人	どじん
土星	どせい
土葬	どそう
土蔵	どぞう
土足	どそく
土俗	どぞく
土台	どだい
土地	とち
土着	どちゃく
土手	どて
土嚢	どのう
土橋	どばし
土俵	どひょう
土瓶	どびん
土塀	どべい
土木	どぼく
土間	どま
土民	どみん
土曜	どよう
土用	どよう
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

土偶	35
土色	つちいろ
土車	つちぐるま
土煙	つちけむり
土船	つちふね
土塊	どかい
土方	どかた
土管	どかん
土器	どき
土建	どけん
土語	どご
土工	どこう
土質	どしつ
土砂	どしゃ
土壌	どじょう
土人	どじん
土星	どせい
土葬	どそう
土蔵	どぞう
土足	どそく
土俗	どぞく
土台	どだい
土地	とち
土着	どちゃく
土中	どちゅう
土手	どて
土嚢	どのう
土橋	どばし
土俵	どひょう
土瓶	どびん
土塀	どべい
土木	どぼく
土間	どま
土民	どみん
土曜	どよう
土用	どよう

土柱	46
土色	つちいろ
土車	つちぐるま
土煙	つちけむり
土船	つちふね
土塊	どかい
土方	どかた
土管	どかん
土器	どき
土偶	どぐう
土建	どけん
土語	どご
土工	どこう
土質	どしつ
土砂	どしゃ
土壌	どじょう
土人	どじん
土星	どせい
土葬	どそう
土蔵	どぞう
土足	どそく
土俗	どぞく
土台	どだい
土地	とち
土着	どちゃく
土中	どちゅう
土手	どて
土嚢	どのう
土橋	どばし
土俵	どひょう
土瓶	どびん
土塀	どべい
土木	どぼく
土間	どま
土民	どみん
土曜	どよう
土用	どよう
円柱	えんちゅう
貝柱	かいばしら
支柱	しちゅう
霜柱	しもばしら
電柱	でんちゅう
鼻柱	はなばしら
人柱	ひとばしら
氷柱	ひょうちゅう
帆柱	ほばしら
門柱	もんちゅう

土竜	36
土色	つちいろ
土車	つちぐるま
土煙	つちけむり
土船	つちふね
土塊	どかい
土方	どかた
土管	どかん
土器	どき
土偶	どぐう
土建	どけん
土語	どご
土工	どこう
土質	どしつ
土砂	どしゃ
土壌	どじょう
土人	どじん
土星	どせい
土葬	どそう
土蔵	どぞう
土足	どそく
土俗	どぞく
土台	どだい
土地	とち
土着	どちゃく
土中	どちゅう
土手	どて
土嚢	どのう
土橋	どばし
土俵	どひょう
土瓶	どびん
土塀	どべい
土木	どぼく
土間	どま
土民	どみん
土曜	どよう
土用	どよう

圧入	41
圧延	あつえん
圧巻	あっかん
圧搾	あっさく
圧死	あっし
圧縮	あっしゅく
圧勝	あっしょう
圧制	あっせい
圧倒	あっとう
圧迫	あっぱく
圧服	あっぷく
圧力	あつりょく
移入	いにゅう
介入	かいにゅう
加入	かにゅう
記入	きにゅう
吸入	きゅうにゅう
購入	こうにゅう
混入	こんにゅう
歳入	さいにゅう
算入	さんにゅう
収入	しゅうにゅう
出入	しゅつにゅう
侵入	しんにゅう
新入	しんにゅう
進入	しんにゅう
先入	せんにゅう
潜入	せんにゅう
挿入	そうにゅう
注入	ちゅうにゅう
転入	てんにゅう
投入	とうにゅう
導入	どうにゅう
突入	とつにゅう
納入	のうにゅう
搬入	はんにゅう
封入	ふうにゅう
編入	へんにゅう
没入	ぼつにゅう
輸入	ゆにゅう
乱入	らんにゅう
流入	りゅうにゅう

在中	71
在位	ざいい
在外	ざいがい
在学	ざいがく
在京	ざいきょう
在郷	ざいきょう
在勤	ざいきん
在家	ざいけ
在庫	ざいこ
在郷	ざいごう
在住	ざいじゅう
在職	ざいしょく
在世	ざいせい
在隊	ざいたい
在宅	ざいたく
在天	ざいてん
在任	ざいにん
在野	ざいや
在来	ざいらい
在留	ざいりゅう
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

在住	25
在位	ざいい
在外	ざいがい
在学	ざいがく
在京	ざいきょう
在郷	ざいきょう
在勤	ざいきん
在家	ざいけ
在庫	ざいこ
在郷	ざいごう
在職	ざいしょく
在世	ざいせい
在隊	ざいたい
在宅	ざいたく
在中	ざいちゅう
在天	ざいてん
在任	ざいにん
在野	ざいや
在来	ざいらい
在留	ざいりゅう
安住	あんじゅう
移住	いじゅう
永住	えいじゅう
居住	きょじゅう
常住	じょうじゅう
定住	ていじゅう

在留	31
在位	ざいい
在外	ざいがい
在学	ざいがく
在京	ざいきょう
在郷	ざいきょう
在勤	ざいきん
在家	ざいけ
在庫	ざいこ
在郷	ざいごう
在住	ざいじゅう
在職	ざいしょく
在世	ざいせい
在隊	ざいたい
在宅	ざいたく
在中	ざいちゅう
在天	ざいてん
在任	ざいにん
在野	ざいや
在来	ざいらい
慰留	いりゅう
書留	かきとめ
居留	きょりゅう
寄留	きりゅう
繋留	けいりゅう
拘留	こうりゅう
残留	ざんりゅう
駐留	ちゅうりゅう
停留	ていりゅう
逗留	とうりゅう
保留	ほりゅう
抑留	よくりゅう

地中	103
地糸	じいと
地方	じかた
地金	じがね
地口	じぐち
地声	じごえ
地獄	じごく
地所	じしょ
地震	じしん
地蔵	じぞう
地代	じだい
地頭	じとう
地主	じぬし
地熱	じねつ
地盤	じばん
地道	じみち
地面	じめん
地元	じもと
地位	ちい
地域	ちいき
地下	ちか
地価	ちか
地階	ちかい
地殻	ちかく
地学	ちがく
地球	ちきゅう
地峡	ちきょう
地銀	ちぎん
地区	ちく
地形	ちけい
地検	ちけん
地裁	ちさい
地誌	ちし
地軸	ちじく
地質	ちしつ
地上	ちじょう
地図	ちず
地勢	ちせい
地租	ちそ
地層	ちそう
地帯	ちたい
地底	ちてい
地点	ちてん
地熱	ちねつ
地番	ちばん
地表	ちひょう
地変	ちへん
地歩	ちほ
地方	ちほう
地味	ちみ
地名	ちめい
地理	ちり
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

地久	57
地糸	じいと
地方	じかた
地金	じがね
地口	じぐち
地声	じごえ
地獄	じごく
地所	じしょ
地震	じしん
地蔵	じぞう
地代	じだい
地頭	じとう
地主	じぬし
地熱	じねつ
地盤	じばん
地道	じみち
地面	じめん
地元	じもと
地位	ちい
地域	ちいき
地下	ちか
地価	ちか
地階	ちかい
地殻	ちかく
地学	ちがく
地球	ちきゅう
地峡	ちきょう
地銀	ちぎん
地区	ちく
地形	ちけい
地検	ちけん
地裁	ちさい
地誌	ちし
地軸	ちじく
地質	ちしつ
地上	ちじょう
地図	ちず
地勢	ちせい
地租	ちそ
地層	ちそう
地帯	ちたい
地中	ちちゅう
地底	ちてい
地点	ちてん
地熱	ちねつ
地番	ちばん
地表	ちひょう
地変	ちへん
地歩	ちほ
地方	ちほう
地味	ちみ
地名	ちめい
地理	ちり
永久	えいきゅう
恒久	こうきゅう
持久	じきゅう
耐久	たいきゅう
悠久	ゆうきゅう

地球	69
地糸	じいと
地方	じかた
地金	じがね
地口	じぐち
地声	じごえ
地獄	じごく
地所	じしょ
地震	じしん
地蔵	じぞう
地代	じだい
地頭	じとう
地主	じぬし
地熱	じねつ
地盤	じばん
地道	じみち
地面	じめん
地元	じもと
地位	ちい
地域	ちいき
地下	ちか
地価	ちか
地階	ちかい
地殻	ちかく
地学	ちがく
地峡	ちきょう
地銀	ちぎん
地区	ちく
地形	ちけい
地検	ちけん
地裁	ちさい
地誌	ちし
地軸	ちじく
地質	ちしつ
地上	ちじょう
地図	ちず
地勢	ちせい
地租	ちそ
地層	ちそう
地帯	ちたい
地中	ちちゅう
地底	ちてい
地点	ちてん
地熱	ちねつ
地番	ちばん
地表	ちひょう
地変	ちへん
地歩	ちほ
地方	ちほう
地味	ちみ
地名	ちめい
地理	ちり
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

地風	117
地糸	じいと
地方	じかた
地金	じがね
地口	じぐち
地声	じごえ
地獄	じごく
地所	じしょ
地震	じしん
地蔵	じぞう
地代	じだい
地頭	じとう
地主	じぬし
地熱	じねつ
地盤	じばん
地道	じみち
地面	じめん
地元	じもと
地位	ちい
地域	ちいき
地下	ちか
地価	ちか
地階	ちかい
地殻	ちかく
地学	ちがく
地球	ちきゅう
地峡	ちきょう
地銀	ちぎん
地区	ちく
地形	ちけい
地検	ちけん
地裁	ちさい
地誌	ちし
地軸	ちじく
地質	ちしつ
地上	ちじょう
地図	ちず
地勢	ちせい
地租	ちそ
地層	ちそう
地帯	ちたい
地中	ちちゅう
地底	ちてい
地点	ちてん
地熱	ちねつ
地番	ちばん
地表	ちひょう
地変	ちへん
地歩	ちほ
地方	ちほう
地味	ちみ
地名	ちめい
地理	ちり
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

坊中	55
坊主	ぼうず
坊や	ぼうや
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

垂柳	8
垂涎	すいえん
垂訓	すいくん
垂線	すいせん
垂涎	すいぜん
垂直	すいちょく
垂範	すいはん
垂木	たるき
川柳	せんりゅう

城中	61
城下	じょうか
城郭	じょうかく
城塞	じょうさい
城址	じょうし
城主	じょうしゅ
城頭	じょうとう
城内	じょうない
城壁	じょうへき
城跡	しろあと
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

埴生	48
埴輪	はにわ
一生	いっしょう
衛生	えいせい
往生	おうじょう
回生	かいせい
学生	がくせい
寄生	きせい
教生	きょうせい
原生	げんせい
厚生	こうせい
抗生	こうせい
更生	こうせい
後生	ごしょう
互生	ごせい
今生	こんじょう
再生	さいせい
死生	しせい
芝生	しばふ
写生	しゃせい
終生	しゅうせい
衆生	しゅじょう
出生	しゅっしょう
出生	しゅっせい
小生	しょうせい
書生	しょせい
新生	しんせい
人生	じんせい
殺生	せっしょう
先生	せんせい
双生	そうせい
叢生	そうせい
簇生	ぞくせい
蘇生	そせい
胎生	たいせい
誕生	たんじょう
畜生	ちくしょう
派生	はせい
発生	はっせい
半生	はんせい
畢生	ひっせい
平生	へいぜい
実生	みしょう
密生	みっせい
民生	みんせい
野生	やせい
養生	ようじょう
余生	よせい
卵生	らんせい

基柱	22
基幹	きかん
基金	ききん
基準	きじゅん
基数	きすう
基線	きせん
基礎	きそ
基地	きち
基調	きちょう
基底	きてい
基点	きてん
基盤	きばん
基本	きほん
円柱	えんちゅう
貝柱	かいばしら
支柱	しちゅう
霜柱	しもばしら
電柱	でんちゅう
鼻柱	はなばしら
人柱	ひとばしら
氷柱	ひょうちゅう
帆柱	ほばしら
門柱	もんちゅう

報酬	11
報恩	ほうおん
報告	ほうこく
報国	ほうこく
報償	ほうしょう
報奨	ほうしょう
報知	ほうち
報道	ほうどう
報徳	ほうとく
報復	ほうふく
報い	むくい
応酬	おうしゅう

塔頭	37
駅頭	えきとう
音頭	おんど
会頭	かいとう
街頭	がいとう
巻頭	かんとう
教頭	きょうとう
巨頭	きょとう
口頭	こうとう
喉頭	こうとう
座頭	ざとう
地頭	じとう
出頭	しゅっとう
城頭	じょうとう
初頭	しょとう
陣頭	じんとう
舌頭	ぜっとう
先頭	せんとう
船頭	せんどう
抬頭	たいとう
店頭	てんとう
波頭	なみがしら
年頭	ねんとう
念頭	ねんとう
旗頭	はたがしら
波頭	はとう
番頭	ばんとう
筆頭	ひっとう
