あいくるしい	愛くるしい
かいしめる	買い占める
かいちゅう	かいちゅう
かいつまむ	かいつまむ
かいもとめる	買い求める
かうぼおい	カウボーイ
かうんたあ	カウンター
かえずぼん	替えズボン
かかえこむ	かかえこむ
かかえこむ	かかえ込む
かかりあい	かかりあい
かきあげる	書きあげる
かきあげる	書き上げる
かきあげる	掻き上げる
かきあつめる	かき集める
かきいれる	書き入れる
かきおろし	書き下ろし
かきしるす	書きしるす
かきそえる	書き添える
かきそんずる	書き損ずる
かきたてる	書き立てる
かきたてる	掻き立てる
かきちらす	書き散らす
かきつける	書きつける
かぎつける	かぎつける
かぎつける	嗅ぎつける
かきつばた	かきつばた
かきとめる	書きとめる
かきなぐる	書きなぐる
かぎほっく	かぎホック
かきまぜる	かきまぜる
かきまわす	かきまわす
かきむしる	かきむしる
かきもらす	書きもらす
かきよせる	かき寄せる
かきわける	かき分ける
かきわける	書き分ける
かぎわける	かぎ分ける
かぎわける	嗅ぎ分ける
かくしゃく	かくしゃく
かぐわしい	かぐわしい
かけくらべ	かけくらべ
かけっくら	かけっくら
かけつける	かけつける
かげながら	かげながら
かけぬける	かけ抜ける
かけはなれる	かけ離れる
かけまわる	かけまわる
かこつける	かこつける
かざりたてる	飾りたてる
かざりつける	飾りつける
かしおぺあ	カシオペア
かしこまる	かしこまる
かしつけける	貸し付ける
かじりつく	かじりつく
かすめとる	かすめ取る
かすりきず	かすりきず
かせいそおだ	苛性ソーダ
かぞえあげる	数えあげる
かぞえたてる	数え立てる
かぞえつくす	数え尽くす
かたがた	−かたがた
かたくりこ	かたくり粉
かたづける	かたづける
かたつむり	かたつむり
かたはらいたい	片腹いたい
かたぼうかつぐ	片棒かつぐ
かたみがひろい	肩身が広い
かたよせる	かたよせる
かたりあかす	語り明かす
かたりかける	語りかける
かちいくさ	勝ちいくさ
かっとばす	かっ飛ばす
かっぱらい	かっぱらい
かとりせんこう	蚊取り線香
かとりっく	カトリック
かどわかす	かどわかす
かなづかい	かなづかい
かなまじり	かなまじり
かぶとむし	かぶとむし
かぶりつく	かぶりつく
かみくだく	かみくだく
かみこなす	かみこなす
かみしめる	かみしめる
かみつぶす	かみつぶす
かみわける	かみ分ける
かむばっく	カムバック
かめらまん	カメラマン
かもしだす	かもし出す
がらすばり	ガラス張り
からすむぎ	からすむぎ
からだつき	からだつき
からっかぜ	からっかぜ
からみあう	からみ合う
からみつく	からみつく
がらんどう	がらんどう
かりあつめる	かり集める
かりいれる	刈り入れる
かりいれる	借り入れる
かりうける	借り受ける
かりたてる	かり立てる
かりたてる	駆り立てる
かるしうむ	カルシウム
かれすすき	枯れすすき
かれんだあ	カレンダー
かろうじて	かろうじて
かわいがる	かわいがる
かわいそう	かわいそう
かわらぶき	かわらぶき
かわりばえ	変わり栄え
かわりばんこ	替わり番こ
かんがみる	かんがみる
かんがるう	カンガルー
かんなづき	かんなづき
かんにんぐ	カンニング
かんばしい	かんばしい
きあわせる	来合わせる
きえうせる	消え失せる
ききいれる	聞き入れる
ききおとす	聞き落とす
ききかじる	聞きかじる
ききぐるしい	聞き苦しい
ききただす	聞きただす
ききちがえる	聞き違える
ききつける	聞きつける
ききつたえる	聞き伝える
ききどころ	聞きどころ
ききとどける	聞き届ける
ききなれる	聞き馴れる
ききもらす	聞きもらす
ききわける	聞き分ける
ききわすれる	聞き忘れる
ぎこちない	ぎこちない
きざみつける	刻み付ける
きずきあげる	築きあげる
きたいはずれ	期待はずれ
きたえあげる	鍜えあげる
きっての	−切っての
きまりもんく	きまり文句
きまりわるい	きまり悪い
きみがわるい	気味が悪い
きめつける	きめつける
ぎゃざあぶん	ギャザー分
きゃばれえ	キャバレー
きゃぷてん	キャプテン
きゃらめる	キャラメル
きゃんでえ	キャンデー
きゅうぎゅうのいちもう	九牛の一毛
きゅうぴい	キューピー
きょうだい	きょうだい
きょろつく	きょろつく
ぎょろつく	ぎょろつく
きらびやか	きらびやか
きらめかす	きらめかす
きりあげる	切り上げる
きりおとす	切り落とす
きりかえる	切り換える
きりかかる	斬りかかる
きりかける	切りかける
きりかわる	切り替わる
きりぎりす	きりぎりす
きりきりまい	きりきり舞
きりくずす	切りくずす
きりさげる	切り下げる
きりすてる	切り捨てる
きりすときょう	キリスト教
きりつける	切りつける
